"r","n","cluster","cluster_code"
1743,36783,"5 - Acute teaching",5
1552,36705,"5 - Acute teaching",5
3382,36364,"5 - Acute teaching",5
3266,53091,"5 - Acute teaching",5
6190,94579,"5 - Acute teaching",5
2731,52878,"5 - Acute teaching",5
1851,34351,"5 - Acute teaching",5
2056,36580,"5 - Acute teaching",5
3148,55417,"5 - Acute teaching",5
3289,38125,"5 - Acute teaching",5
2290,33085,"5 - Acute teaching",5
2417,42169,"5 - Acute teaching",5
3054,44255,"5 - Acute teaching",5
1962,35090,"5 - Acute teaching",5
6178,90941,"5 - Acute teaching",5
3284,51154,"5 - Acute teaching",5
1437,32218,"5 - Acute teaching",5
5042,87332,"5 - Acute teaching",5
2883,49289,"5 - Acute teaching",5
1788,40110,"5 - Acute teaching",5
5875,96993,"5 - Acute teaching",5
124,5156,"4 - Acute specialist",4
183,7201,"4 - Acute specialist",4
601,10282,"4 - Acute specialist",4
31,3329,"4 - Acute specialist",4
227,7013,"4 - Acute specialist",4
86,4303,"4 - Acute specialist",4
748,14309,"4 - Acute specialist",4
160,5494,"4 - Acute specialist",4
189,3615,"4 - Acute specialist",4
515,17163,"4 - Acute specialist",4
165,6865,"4 - Acute specialist",4
30,1771,"4 - Acute specialist",4
177,9392,"4 - Acute specialist",4
1143,18939,"4 - Acute specialist",4
2925,50036,"3 - Large acute or multi-service",3
3137,43720,"3 - Large acute or multi-service",3
2956,54773,"3 - Large acute or multi-service",3
2708,55356,"3 - Large acute or multi-service",3
1955,42512,"3 - Large acute or multi-service",3
4021,61162,"3 - Large acute or multi-service",3
2114,42495,"3 - Large acute or multi-service",3
2468,66719,"3 - Large acute or multi-service",3
2727,49124,"3 - Large acute or multi-service",3
2788,50896,"3 - Large acute or multi-service",3
2985,46706,"3 - Large acute or multi-service",3
2288,34599,"3 - Large acute or multi-service",3
3216,52030,"3 - Large acute or multi-service",3
2623,61113,"3 - Large acute or multi-service",3
3242,48593,"3 - Large acute or multi-service",3
3632,50658,"3 - Large acute or multi-service",3
3674,54474,"3 - Large acute or multi-service",3
3388,60296,"3 - Large acute or multi-service",3
4085,70505,"3 - Large acute or multi-service",3
2542,44173,"3 - Large acute or multi-service",3
2514,53652,"3 - Large acute or multi-service",3
1618,36785,"3 - Large acute or multi-service",3
4278,61817,"3 - Large acute or multi-service",3
4764,72655,"3 - Large acute or multi-service",3
4029,68689,"3 - Large acute or multi-service",3
1653,37489,"3 - Large acute or multi-service",3
2574,47528,"3 - Large acute or multi-service",3
2424,42040,"3 - Large acute or multi-service",3
4834,72506,"3 - Large acute or multi-service",3
2489,42192,"3 - Large acute or multi-service",3
953,24474,"2 - Medium acute or multi-service",2
1436,27704,"2 - Medium acute or multi-service",2
2169,41898,"2 - Medium acute or multi-service",2
1124,18489,"2 - Medium acute or multi-service",2
1099,26700,"2 - Medium acute or multi-service",2
1642,32206,"2 - Medium acute or multi-service",2
1865,28342,"2 - Medium acute or multi-service",2
1193,26526,"2 - Medium acute or multi-service",2
1731,34979,"2 - Medium acute or multi-service",2
1629,25927,"2 - Medium acute or multi-service",2
1624,34859,"2 - Medium acute or multi-service",2
1636,27291,"2 - Medium acute or multi-service",2
1707,33714,"2 - Medium acute or multi-service",2
1390,27484,"2 - Medium acute or multi-service",2
1422,29763,"2 - Medium acute or multi-service",2
1230,32640,"2 - Medium acute or multi-service",2
3134,54264,"2 - Medium acute or multi-service",2
2849,46738,"2 - Medium acute or multi-service",2
1320,25140,"2 - Medium acute or multi-service",2
2314,31734,"2 - Medium acute or multi-service",2
1882,31817,"2 - Medium acute or multi-service",2
885,20899,"2 - Medium acute or multi-service",2
1482,28888,"2 - Medium acute or multi-service",2
1628,33117,"2 - Medium acute or multi-service",2
1176,20356,"2 - Medium acute or multi-service",2
1922,32319,"2 - Medium acute or multi-service",2
764,16908,"2 - Medium acute or multi-service",2
1249,21037,"2 - Medium acute or multi-service",2
1066,22387,"2 - Medium acute or multi-service",2
2846,38690,"2 - Medium acute or multi-service",2
976,15020,"2 - Medium acute or multi-service",2
1436,25358,"2 - Medium acute or multi-service",2
711,16654,"2 - Medium acute or multi-service",2
2191,37933,"2 - Medium acute or multi-service",2
2064,33441,"2 - Medium acute or multi-service",2
1125,21590,"2 - Medium acute or multi-service",2
1573,27699,"2 - Medium acute or multi-service",2
930,22996,"2 - Medium acute or multi-service",2
903,18043,"2 - Medium acute or multi-service",2
1596,33198,"2 - Medium acute or multi-service",2
940,15791,"2 - Medium acute or multi-service",2
2231,39837,"2 - Medium acute or multi-service",2
1469,31852,"2 - Medium acute or multi-service",2
904,20438,"2 - Medium acute or multi-service",2
1294,25477,"2 - Medium acute or multi-service",2
1661,37055,"2 - Medium acute or multi-service",2
1646,31405,"2 - Medium acute or multi-service",2
1035,23166,"2 - Medium acute or multi-service",2
1364,31837,"2 - Medium acute or multi-service",2
1484,29286,"2 - Medium acute or multi-service",2
2443,38173,"2 - Medium acute or multi-service",2
1465,25106,"2 - Medium acute or multi-service",2
2439,37346,"2 - Medium acute or multi-service",2
1136,21693,"2 - Medium acute or multi-service",2
811,16781,"1 - Small acute or multi-service",1
1309,25791,"1 - Small acute or multi-service",1
992,18628,"1 - Small acute or multi-service",1
782,14644,"1 - Small acute or multi-service",1
1098,19497,"1 - Small acute or multi-service",1
887,15518,"1 - Small acute or multi-service",1
1295,19579,"1 - Small acute or multi-service",1
674,13402,"1 - Small acute or multi-service",1
1273,25961,"1 - Small acute or multi-service",1
732,21218,"1 - Small acute or multi-service",1
1210,24405,"1 - Small acute or multi-service",1
1206,27464,"1 - Small acute or multi-service",1
1178,24326,"1 - Small acute or multi-service",1
1389,25735,"1 - Small acute or multi-service",1
1261,21017,"1 - Small acute or multi-service",1
630,14657,"1 - Small acute or multi-service",1
1042,22987,"1 - Small acute or multi-service",1
1595,28217,"1 - Small acute or multi-service",1
778,17306,"1 - Small acute or multi-service",1
811,13205,"1 - Small acute or multi-service",1
808,12675,"1 - Small acute or multi-service",1
