"surgamr","surgvol"
"1.18","362"
"0.58","480"
"4.02","82"
"4.56","577"
"1.94","434"
"0.00","106"
"2.96","527"
"6.22","222"
"0.00","100"
"0.00","14"
"9.79","23"
"4.32","89"
"7.27","57"
"0.00","44"
"0.00","11"
"1.70","204"
"2.48","272"
"2.76","206"
"1.24","578"
"3.04","549"
"2.37","221"
"1.85","679"
"0.00","2"
"0.00","2"
"3.86","351"
"2.79","413"
"3.56","503"
"5.56","366"
"2.39","207"
"3.90","48"
"2.87","270"
"2.22","644"
"1.92","223"
"1.61","564"
"4.29","153"
"0.00","1"
"2.96","384"
"1.79","393"
"1.28","480"
"1.73","179"
"1.93","241"
"3.53","153"
"0.00","4"
"0.00","1"
"2.57","105"
"2.23","233"
"5.48","72"
"4.42","47"
"2.41","360"
"6.34","52"
"3.33","146"
"2.87","1044"
"0.00","16"
"2.58","619"
"8.15","119"
"1.16","458"
"2.11","380"
"0.00","4"
"1.72","500"
"4.63","305"
"3.21","119"
"2.08","645"
"3.14","30"
"4.64","46"
"2.07","640"
"4.70","114"
"2.47","336"
"1.92","633"
"0.00","5"
"2.34","473"
"2.06","413"
"4.12","219"
"0.00","1"
"4.74","140"
"0.00","1"
"0.00","1"
"0.00","2"
"1.01","87"
"2.94","414"
"0.00","34"
"3.85","63"
"1.71","291"
"1.56","317"
"1.02","293"
"1.13","201"
"0.00","23"
"100.00","1"
"0.00","152"
"2.38","245"
"0.00","10"
"1.81","342"
"2.78","242"
"0.00","28"
"3.89","320"
"3.49","241"
"2.39","91"
"0.00","32"
"0.00","5"
"0.00","41"
"0.00","2"
"3.46","329"
"1.97","498"
"0.00","6"
"4.09","98"
"2.86","343"
"2.62","313"
"1.83","225"
"0.00","8"
"2.42","98"
"1.45","214"
"1.59","65"
"1.50","779"
"3.43","449"
"1.22","698"
"0.81","183"
"2.04","308"
"0.00","2"
"1.37","801"
"2.89","203"
"1.56","647"
"1.75","738"
"1.25","478"
"1.53","292"
"1.21","266"
"1.46","117"
"1.83","891"
"1.85","458"
"1.12","537"
"1.14","190"
"1.71","766"
"2.42","826"
"0.99","1043"
"1.00","532"
"0.40","568"
"0.82","578"
"0.41","660"
"1.53","637"
"3.03","142"
"4.16","81"
"3.43","24"
"1.88","54"
"0.00","5"
"1.88","469"
"4.18","143"
"2.96","496"
"1.17","362"
"1.90","472"
"1.15","118"
"1.48","391"
"2.37","22"
"0.00","1"
"5.88","437"
"3.23","91"
"2.57","552"
"4.56","470"
"7.59","72"
"2.03","244"
"0.94","410"
"2.24","232"
"2.48","387"
"2.12","234"
"2.73","468"
"2.58","466"
"3.75","146"
"5.05","196"
"1.37","57"
"1.32","352"
"2.92","333"
"0.00","109"
"1.97","454"
"3.17","475"
"1.33","83"
"2.33","263"
"1.95","725"
"2.85","139"
"7.04","160"
"1.34","194"
"0.00","1"
"9.96","35"
"4.12","98"
"7.72","17"
"14.85","23"
"0.00","2"
"8.33","118"
"3.02","92"
"1.04","338"
"2.14","207"
"1.24","95"
"1.35","707"
"6.58","102"
"2.31","632"
"1.70","224"
"2.03","411"
"2.41","474"
"3.95","325"
"1.72","392"
"6.29","257"
"0.90","471"
"3.59","309"
"0.53","427"
"1.53","621"
"1.80","153"
"1.36","595"
"1.65","234"
"0.00","83"
"1.19","162"
