"rate1998","rate2001","OBS2001","POP2001","OBS1998"
52.9,45,125,2776,147
74.4,76.2,305,4004,298
74.1,62.2,135,2171,161
58.7,72.7,281,3866,227
58.8,63.6,175,2751,162
49.1,46.6,80,1715,84
90.8,90.8,375,4129,375
77.4,65.1,272,4181,324
56.2,57.2,334,5838,328
83.1,85.9,335,3898,324
53.6,54.5,218,3999,214
70.3,59.2,173,2920,205
57.6,45.5,87,1911,110
51.7,63.1,215,3408,176
25.5,25.2,143,5676,145
38.2,43.8,181,4134,158
44.7,47.1,236,5015,224
32.5,33.3,162,4867,158
58.2,52.6,336,6391,372
43.9,37.8,198,5239,230
42.1,48,249,5192,219
65.3,67.8,272,4014,262
26.2,24.1,98,4065,107
41.3,32.2,134,4165,172
45.7,43.2,188,4353,199
48.6,42.2,165,3910,190
31.9,28.1,67,2382,76
50.5,44.9,126,2806,142
24.9,34.7,160,4611,115
27,21.2,48,2262,61
38.2,35.1,112,3187,122
52.9,55.4,216,3901,206
66,50.6,94,1856,123
78.4,63.1,120,1901,149
68.5,57.4,180,3137,215
58.8,54.8,162,2958,174
52,38.3,147,3839,200
56.8,44.5,398,8947,508
42.3,36.3,215,5928,251
57.5,42,152,3615,208
54.4,59.3,267,4500,245
61.2,52.6,190,3610,221
65.6,53.2,168,3156,207
62.7,51.6,296,5739,360
58.2,45.8,140,3055,178
68.8,62.4,156,2500,172
50.1,46.7,127,2718,136
48.5,42.6,158,3712,180
38.4,30.8,386,12536,481
41.3,35.5,315,8870,366
51.8,48.6,252,5180,268
55.9,44.2,156,3533,197
67.8,72.4,541,7473,506
67.6,59.7,276,4624,313
64.3,51.3,224,4368,281
62.3,56.3,236,4193,261
45.4,36.1,196,5429,247
55.2,51.9,219,4222,233
35.6,35.4,153,4321,154
54.9,51.3,296,5775,317
48.5,41.1,922,22406,1087
58.5,46.9,164,3497,205
57.2,44.8,411,9167,524
34.5,33.1,189,5709,197
55.8,51.4,180,3505,196
53.2,48.4,323,6670,355
37.1,29.7,173,5820,216
83.9,73.7,353,4788,402
69.6,63.2,206,3259,227
54,46.3,137,2956,160
33.4,30.5,93,3046,102
37.4,31.5,328,10410,389
61.4,51.5,209,4057,249
75,59.6,343,5757,432
57.4,53.5,258,4824,277
51.8,51.9,448,8626,446
57.9,47.6,498,10469,606
54.8,50.9,189,3713,204
49,40.8,306,7509,368
49.5,46.7,603,12919,640
57,47.1,290,6151,351
65.5,47.9,208,4340,284
64.1,46.6,273,5863,376
78.7,66.9,316,4720,372
16.6,14.4,11,766,13
41.8,35.5,468,13194,551
38.8,29.2,315,10785,418
50.4,41.8,483,11545,582
46.3,42.3,507,11992,556
47.8,36.3,495,13649,652
37.3,35,110,3143,117
69.8,62.8,286,4554,318
63.4,60.2,193,3208,203
34.1,31.6,165,5223,178
43.5,36.4,556,15288,666
41.4,39.2,360,9193,381
58.6,52.8,1077,20394,1195
61.3,57.2,342,5981,367
56.5,50.2,278,5538,313
71.8,63.8,359,5623,404
40.9,30.7,121,3942,161
68.4,57.1,289,5059,346
67.4,62.9,293,4659,314
33.7,33.2,330,9943,335
41.8,44.2,176,3982,166
57.4,52.7,167,3167,182
58.9,47.7,130,2728,161
59.1,50.3,137,2724,161
42.2,32.8,237,7215,304
31.6,31.7,302,9537,302
37.1,32.4,752,23221,863
31.7,29.1,547,18775,595
37.1,36.9,509,13802,512
37.3,29.3,351,11987,447
44,34.7,70,2017,89
42.7,42.4,161,3800,162
40.4,37.8,91,2407,97
45.2,44.6,232,5201,235
53,43.7,187,4275,226
54.3,47.7,160,3355,182
62.1,56.7,140,2467,153
54.2,41.6,97,2333,126
58,64.6,224,3465,201
30.2,28.5,85,2980,90
26.1,25,57,2283,59
27.2,21.6,61,2819,77
24.8,23.3,212,9114,226
40,30.7,262,8535,341
36.8,32.7,743,22708,836
41.5,39.3,986,25108,1042
31.8,34.4,362,10518,334
28,26.8,485,18104,506
36.6,32.2,407,12648,464
29.4,28.1,79,2807,83
49.1,50.2,128,2551,125
52,52.3,354,6769,352
36.4,43.2,141,3261,119
59.4,48.3,217,4491,267
43.4,29.8,77,2582,112
33,25.2,108,4288,141
55.4,58.8,189,3215,178
45.2,39.8,92,2311,104
40.4,34.1,306,8981,363
33.6,33.4,404,12088,406
31.5,31.3,211,6735,212
41.8,37.4,387,10343,432
38.2,31.9,300,9403,359
32.4,30.3,237,7832,254
